iter	Passed	Remaining
1174	88610	665518
1175	88692	665497
1176	88755	665329
1177	88814	665126
1178	88890	665059
1179	88957	664920
1180	89030	664823
1181	89105	664747
1182	89178	664652
1183	89255	664589
1184	89330	664512
1185	89384	664279
1186	89464	664235
1187	89562	664331
1188	89639	664267
1189	89700	664085
1190	89783	664068
1191	89845	663893
1192	89915	663774
1193	89986	663670
1194	90046	663478
1195	90095	663211
1196	90152	663000
1197	90215	662837
1198	90276	662654
1199	90339	662486
1200	90398	662291
1201	90464	662152
1202	90524	661968
1203	90603	661915
1204	90663	661728
1205	90726	661563
1206	90790	661407
1207	90862	661308
1208	90923	661132
1209	90999	661061
1210	91064	660909
1211	91125	660737
1212	91190	660587
1213	91257	660450
1214	91324	660317
1215	91385	660142
1216	91444	659945
1217	91505	659770
1218	91582	659711
1219	91648	659565
1220	91709	659391
1221	91775	659249
1222	91835	659070
1223	91897	658899
1224	91962	658748
1225	92027	658608
1226	92110	658584
1227	92185	658510
1228	92272	658524
1229	92339	658391
1230	92413	658308
1231	92487	658220
1232	92566	658176
1233	92641	658099
1234	92715	658015
1235	92788	657926
1236	92870	657898
1237	92941	657797
1238	93004	657636
1239	93065	657460
1240	93139	657381
1241	93212	657292
1242	93287	657213
1243	93367	657177
1244	93435	657048
1245	93514	657004
1246	93586	656904
1247	93658	656807
1248	93730	656713
1249	93800	656603
1250	93868	656476
1251	93940	656384
1252	94013	656291
1253	94099	656292
1254	94169	656187
1255	94250	656151
1256	94317	656020
1257	94380	655861
1258	94455	655784
1259	94519	655633
1260	94573	655415
1261	94658	655411
1262	94730	655314
1263	94793	655158
1264	94868	655077
1265	94940	654983
1266	95012	654886
1267	95097	654882
1268	95162	654740
1269	95223	654569
1270	95295	654473
1271	95357	654309
1272	95420	654153
1273	95495	654077
1274	95551	653875
1275	95609	653677
1276	95691	653655
1277	95751	653477
1278	95813	653312
1279	95895	653286
1280	95968	653202
1281	96030	653035
1282	96096	652904
1283	96161	652757
1284	96232	652656
1285	96328	652727
1286	96401	652637
1287	96454	652418
1288	96514	652238
1289	96581	652112
1290	96654	652022
1291	96709	651818
1292	96789	651777
1293	96857	651656
1294	96929	651562
1295	97007	651504
1296	97068	651338
1297	97149	651306
1298	97220	651206
1299	97289	651089
1300	97355	650957
1301	97439	650941
1302	97514	650871
1303	97585	650769
1304	97650	650626
1305	97723	650540
1306	97813	650566
1307	97884	650471
1308	97955	650368
1309	98035	650328
1310	98115	650285
1311	98184	650170
1312	98266	650147
1313	98343	650083
1314	98414	649984
1315	98498	649970
1316	98573	649896
1317	98653	649854
1318	98717	649710
1319	98794	649651
1320	98871	649585
1321	98942	649491
1322	99014	649391
1323	99091	649334
1324	99159	649213
1325	99228	649101
1326	99306	649044
1327	99375	648935
1328	99446	648831
1329	99508	648672
1330	99576	648556
1331	99641	648418
1332	99704	648266
1333	99794	648288
1334	99887	648336
1335	99993	648460
1336	100070	648398
1337	100133	648248
1338	100196	648098
1339	100281	648085
1340	100340	647910
1341	100402	647751
1342	100473	647656
1343	100537	647512
1344	100600	647360
1345	100654	647152
1346	100715	646984
1347	100806	647013
1348	100899	647055
1349	101008	647204
1350	101115	647335
1351	101225	647483
1352	101334	647625
1353	101444	647777
1354	101545	647870
1355	101640	647922
1356	101710	647816
1357	101773	647663
1358	101842	647549
1359	101924	647518
1360	101991	647395
1361	102059	647275
1362	102124	647139
1363	102193	647025
1364	102263	646917
1365	102333	646812
1366	102403	646708
1367	102458	646506
1368	102511	646297
1369	102580	646184
1370	102642	646023
1371	102715	645939
1372	102782	645817
1373	102855	645728
1374	102922	645603
1375	102983	645443
1376	103045	645289
1377	103108	645140
1378	103187	645088
1379	103249	644934
1380	103324	644863
1381	103429	644971
1382	103505	644905
1383	103574	644797
1384	103635	644633
1385	103707	644542
1386	103772	644409
1387	103850	644352
1388	103914	644212
1389	103976	644055
1390	104051	643982
1391	104129	643926
1392	104209	643887
1393	104287	643828
1394	104356	643719
1395	104431	643648
1396	104508	643583
1397	104571	643433
1398	104635	643296
1399	104710	643221
1400	104778	643106
1401	104845	642985
1402	104909	642843
1403	104973	642698
1404	105049	642633
1405	105120	642535
1406	105187	642414
1407	105248	642254
1408	105324	642186
1409	105393	642077
1410	105456	641934
1411	105519	641786
1412	105585	641660
1413	105654	641547
1414	105713	641378
1415	105782	641267
1416	105844	641118
1417	105909	640986
1418	105993	640965
1419	106059	640836
1420	106137	640781
1421	106205	640669
1422	106265	640504
1423	106327	640355
1424	106387	640189
1425	106462	640121
1426	106534	640025
1427	106597	639886
1428	106674	639820
1429	106746	639733
1430	106821	639657
1431	106876	639470
1432	106949	639385
1433	107010	639228
1434	107079	639118
1435	107143	638983
1436	107206	638839
1437	107269	638695
1438	107340	638594
1439	107407	638478
1440	107478	638384
1441	107537	638212
1442	107602	638086
1443	107673	637985
1444	107739	637860
1445	107805	637737
1446	107873	637624
1447	107935	637477
1448	108010	637401
1449	108071	637247
1450	108134	637104
1451	108202	636993
1452	108267	636863
1453	108333	636740
1454	108409	636673
1455	108492	636650
1456	108561	636540
1457	108638	636480
1458	108712	636401
1459	108791	636353
1460	108876	636339
1461	108951	636268
1462	109010	636104
1463	109076	635984
1464	109140	635844
1465	109204	635710
1466	109269	635581
1467	109359	635594
1468	109445	635586
1469	109511	635466
1470	109579	635355
1471	109650	635257
1472	109727	635200
1473	109790	635055
1474	109859	634951
1475	109918	634787
1476	109990	634698
1477	110051	634547
1478	110111	634390
1479	110182	634293
1480	110243	634140
1481	110309	634017
1482	110374	633890
1483	110437	633752
1484	110498	633597
1485	110562	633465
1486	110627	633335
1487	110688	633183
1488	110783	633231
1489	110850	633113
1490	110918	632999
1491	110990	632910
1492	111061	632821
1493	111134	632737
1494	111208	632661
1495	111277	632553
1496	111346	632451
1497	111425	632400
1498	111496	632306
1499	111567	632216
1500	111634	632099
1501	111698	631968
1502	111788	631979
1503	111877	631987
1504	111965	631991
1505	112063	632048
1506	112142	632001
1507	112254	632139
1508	112339	632122
1509	112429	632137
1510	112486	631964
1511	112579	631995
1512	112652	631909
1513	112723	631816
1514	112783	631662
1515	112844	631509
1516	112909	631382
1517	112975	631262
1518	113068	631291
1519	113171	631376
1520	113249	631324
1521	113317	631212
1522	113427	631338
1523	113510	631307
1524	113603	631336
1525	113691	631335
1526	113790	631400
1527	113882	631420
1528	113978	631467
1529	114073	631505
1530	114162	631510
1531	114254	631531
1532	114321	631418
1533	114406	631398
1534	114471	631271
1535	114552	631231
1536	114634	631196
1537	114718	631176
1538	114814	631220
1539	114893	631170
1540	114992	631226
1541	115076	631203
1542	115151	631134
1543	115231	631087
1544	115317	631074
1545	115412	631110
1546	115504	631128
1547	115595	631142
1548	115689	631176
1549	115758	631073
1550	115808	630863
1551	115880	630771
1552	115950	630671
1553	116029	630621
1554	116111	630584
1555	116213	630660
1556	116272	630498
1557	116326	630312
1558	116396	630211
1559	116449	630023
